"Protein","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"Factor IX",8.90030749887151,8.12952340513527e-06,TRUE,"Up","Cyno","Malale","4"
"VCAM-1",-4.71324527084477,0.360187128528572,FALSE,"None","Cyno","Malale","4"
"IP-10",4.31304310727499,2.21039471153503e-13,TRUE,"Up","Cyno","Malale","4"
"OPN",-4.31119851658916,0.675906653257232,FALSE,"None","Cyno","Malale","4"
"MMP-9",-3.49169374061111,0.675906653257232,FALSE,"None","Cyno","Malale","4"
"Tissue factor",3.0346907437253,0.0420022030775306,TRUE,"Up","Cyno","Malale","4"
"Fibrinogen",-2.37362016764188,0.432599947993371,FALSE,"None","Cyno","Malale","4"
"MPO",-2.28449013978008,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"MCP-1",2.04793086991333,0.0665774891225352,FALSE,"None","Cyno","Malale","4"
"IL-18",1.5287004946214,0.840358515010039,FALSE,"None","Cyno","Malale","4"
"I-TAC",1.38056845833693,0.177018520152004,FALSE,"None","Cyno","Malale","4"
"Eotaxin",1.16040996947331,0.177018520152004,FALSE,"None","Cyno","Malale","4"
"Prothrombin",-1.12740430413082,0.31182064574961,FALSE,"None","Cyno","Malale","4"
"D-dimer",-1.11305378974556,0.770297408550453,FALSE,"None","Cyno","Malale","4"
"Factor XIII",-1.08643407268184,0.770297408550453,FALSE,"None","Cyno","Malale","4"
"RANTES",-1.03789371567376,0.549746325995471,FALSE,"None","Cyno","Malale","4"
"IL-8",-0.937840680270513,0.770297408550453,FALSE,"None","Cyno","Malale","4"
"IFN-B",0.825041517104613,0.376431731247553,FALSE,"None","Cyno","Malale","4"
"sST2",0.666867464113533,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"ICAM-1",-0.647232170442587,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"NGAL",-0.63533953851552,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"IL-6",0.63467861558301,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"PSGL-1",-0.629360064348848,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"sFlt-1",0.628279046889745,0.675906653257232,FALSE,"None","Cyno","Malale","4"
"PIGF",0.618677291898205,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"TIE-2",0.601266774516411,0.376431731247553,FALSE,"None","Cyno","Malale","4"
"MIP-1B",0.600583605199402,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"IL-12p40",-0.584466504687434,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"TNF-a",-0.577051120067237,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"IGFBP-4",0.555815358166395,0.549746325995471,FALSE,"None","Cyno","Malale","4"
"sRAGE",0.555477243941418,0.696525662596909,FALSE,"None","Cyno","Malale","4"
"MIG",0.541108379070805,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"TIE-1",0.507218402347487,0.770297408550453,FALSE,"None","Cyno","Malale","4"
"Antithrombin",-0.499942362637217,0.52349309549284,FALSE,"None","Cyno","Malale","4"
"Myoglobin",-0.444593193477139,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"GM-CSF",-0.431675743846776,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"sCD40L",0.413868932265366,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"PAI-1",0.366071330726491,0.82278828563729,FALSE,"None","Cyno","Malale","4"
"LIGHT",-0.326293519634989,0.906647960901263,FALSE,"None","Cyno","Malale","4"
"P-Selectin",0.238850215678655,0.770297408550453,FALSE,"None","Cyno","Malale","4"
"IL-17A",-0.230477626064015,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"IFN-g",-0.224259324501421,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"IL-10",0.214889437689208,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"IL-1B",-0.204781712325664,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"Cystatin C",-0.177597045159338,0.861461801266339,FALSE,"None","Cyno","Malale","4"
"IL-23",-0.17248651284997,0.865708432697288,FALSE,"None","Cyno","Malale","4"
"MMP-2",-0.139062473611979,0.840358515010039,FALSE,"None","Cyno","Malale","4"
"MRP8/14",0.107569664590699,0.865708432697288,FALSE,"None","Cyno","Malale","4"
"tPA",-0.0123429847047589,0.981012363977296,FALSE,"None","Cyno","Malale","4"
"Factor IX",9.61550226927156,8.08450397038314e-07,TRUE,"Up","Cyno","Malale","7"
"IP-10",5.23702188223701,1.69128604417332e-17,TRUE,"Up","Cyno","Malale","7"
"MMP-9",4.36288270651592,0.433049848739575,FALSE,"None","Cyno","Malale","7"
"IFN-B",4.28194385909941,2.78332451920661e-13,TRUE,"Up","Cyno","Malale","7"
"Tissue factor",4.12387529700246,0.000490331922798837,TRUE,"Up","Cyno","Malale","7"
"MIG",3.36276530841205,0.0490456575321715,TRUE,"Up","Cyno","Malale","7"
"I-TAC",3.13147068262536,8.64636004134724e-06,TRUE,"Up","Cyno","Malale","7"
"MCP-1",2.76016039471404,0.00141206932193743,TRUE,"Up","Cyno","Malale","7"
"PAI-1",2.60481412680802,0.000145170216374412,TRUE,"Up","Cyno","Malale","7"
"tPA",2.13092134949264,0.000601861216516586,TRUE,"Up","Cyno","Malale","7"
"IL-18",-1.95132700160144,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"IL-6",1.81083471176177,0.697980861024036,FALSE,"None","Cyno","Malale","7"
"Eotaxin",1.57599000127677,0.0112707910449817,TRUE,"Up","Cyno","Malale","7"
"Fibrinogen",-1.5690555628261,0.697980861024036,FALSE,"None","Cyno","Malale","7"
"D-dimer",-1.43036263969686,0.598873829575749,FALSE,"None","Cyno","Malale","7"
"Prothrombin",-1.2708732906048,0.0978876421927251,FALSE,"None","Cyno","Malale","7"
"LIGHT",-1.23205064681878,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"IGFBP-4",1.14544678647541,0.0162020012172945,TRUE,"Up","Cyno","Malale","7"
"PSGL-1",-1.13600315618633,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"sST2",1.07048848092253,0.697980861024036,FALSE,"None","Cyno","Malale","7"
"Myoglobin",1.04464149940647,0.82257294076651,FALSE,"None","Cyno","Malale","7"
"VCAM-1",1.02718030499579,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"MIP-1B",0.860444752657703,0.82257294076651,FALSE,"None","Cyno","Malale","7"
"OPN",0.741744375519884,0.962357928350786,FALSE,"None","Cyno","Malale","7"
"GM-CSF",0.641281146202482,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"Factor XIII",0.610413510427403,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"P-Selectin",0.543753058580362,0.130490723205983,FALSE,"None","Cyno","Malale","7"
"IL-12p40",-0.523848537539768,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"IL-10",0.512590915934672,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"Antithrombin",-0.508373961209312,0.426913113711971,FALSE,"None","Cyno","Malale","7"
"IFN-g",0.446370495439286,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"NGAL",-0.365197285114263,0.948812671412386,FALSE,"None","Cyno","Malale","7"
"ICAM-1",-0.334907435740207,0.962357928350786,FALSE,"None","Cyno","Malale","7"
