Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample001,0.019222402200447,0,0.114905597309945,0.420459222588192,0.33548577504091,0,0.0950026014932625,0,0.145982420404085,0,1.00354369273805,0,0,0.0110461302308136,0,0,0.00238750466842464,0.097259996828525,0.0398190752843779,0,0,0.220567784966815,0,0.814617853860721,0.606216338868616,2.50568220375385
sample003,0.0192997007899503,0,0.135675234435604,0.250795730971407,0.381428169474693,0,0.0981617567052891,0.0277757193991969,0.0149847822414233,0,0.869104716680982,0,0.220191775213003,0,0,0,0,0.282841570180705,0.00697213370892443,0,0.00229251220103522,0.0453756376763431,0,0.795034090197383,0.647912048135573,2.35489943967856
sample004,0.0249262116110051,0,0.0834599067582203,0.767335542836175,0,0,0.241512221451318,0.0580922708732013,0,0,0.999896944042473,0,0.157967140871323,0.00124747505536795,0,0,0,0.152254513969322,0.0461376863863582,0,0,0.0926150018980888,0,0.814804803225961,0.606407738808623,2.62544491575285
sample005,0,0,0.0545307672779152,0.663035258650036,0.0246339498890049,0,0.287369551419127,0,0,0,0.938702387809979,0,0.219239778888365,0.0474134037487687,0,0,0,0.152181175199997,0.0903713409352574,0,0.00795081844793009,0.0715891815477902,0,0.828197297774595,0.604940732350852,2.55701761381417
sample006,0,0.0194370930121098,0.428643160886861,0.458397758881098,0.373612424691684,0,0.330241739683305,0,0,0,0.677930359891199,0,0.0184277910117851,0,0,0,0,0.0745587291532107,0.175945471686522,0,0.00449069613600769,0.138409505649333,0,0.840860906672636,0.629631331100078,2.70009473068312
sample007,0.168662422608178,0,1.10873873986662,0,0.643198743178341,0,0.1895697838479,0,0.0925529006585202,0,0.331102994757301,0,0,0.0355846692924944,0,0.0481097275754134,0,0.202191976623683,0.0550596742674443,0.00108745143666852,0.000931541392633434,0.298737536938314,0,0.818165422697126,0.642528408813467,3.17552816244351
sample008,0,0.0759324528340752,0.382210595630186,0.0976202587916147,0.788536387893429,0.110556762238436,0.121161696793792,0,0.0392177512836187,0,0.463066368696324,0,0,0.061030921207955,0,0.0483614383805822,0,0.058176411298887,0.0213427094842847,0,0,0.351354865708464,0,0.825327048979393,0.647162580285379,2.61856862024165
sample010,0,0.125052916070356,0.430926317072324,0,0.689982187785028,0,0.0951795564793353,0,0.0436227203826774,0,0.491581780787131,0,0.0086315973167816,0,0,0.155870143274812,0,0.218106059576331,0,0.0371683729199074,0,0.383233588475237,0,0.779833228606763,0.701120467143653,2.67935524013992
sample011,0,0.0270141107369206,0.326547884119063,0.0212752003622362,0.528933410697376,0.0103366400193778,0.108648402550757,0,0.0586306122858216,0,0.866284482515317,0,0,0,0,0.0637724189955362,0,0.225105684253825,0,0.0559917414062738,0,1.13374960055918,0,0.747518094982023,0.692657358710456,3.42629018850169
sample012,0.0271898013807059,0,0.0901985066941646,0,0.495632233255901,0,0.11282184062415,0,0.210527044790735,0,0.894810290316029,0,0,0.0334454745692785,0,0.149797431100901,0,0.162058577664688,0.0201210843738113,0.00440080009865044,0,1.02147221993582,0,0.76988049201864,0.669954796336724,3.22247530480484
