"Gene","AGM.4.lfc","Cyno.4.lfc","AGM.7.lfc","Cyno.7.lfc","AGM.10.lfc","AGM.≥14/Term.lfc","Cyno.≥14/Term.lfc","AGM.4.padj","Cyno.4.padj","AGM.7.padj","Cyno.7.padj","AGM.10.padj","AGM.≥14/Term.padj","Cyno.≥14/Term.padj"
"A1BG",0.00217124212309205,0.0588726328249157,-5.76086980886381e-07,0.0777379862891361,1.24162555293605e-06,-0.0310705106223564,0.423951550680279,0.889645774046008,0.453425231354568,0.889645774046008,0.453425231354568,0.889645774046008,0.889645774046008,0.453425231354568
"A2ML1",-0.0184175806842836,0.144003513696275,7.64713406481538e-08,0.109313341899044,-3.10391032443009e-06,-0.046999921151866,0.341412246582876,0.797701589454336,0.569593349422948,0.797701589454336,0.569593349422948,0.797701589454336,0.797701589454336,0.569593349422948
"A4GALT",0.000413855837182381,0.603634345896106,-5.58211536922153e-07,0.507638763527071,-2.88391083065727e-06,-0.0371109057203548,0.618622190437317,0.769563379819088,0.0930695832053026,0.769563379819088,0.0930695832053026,0.769563379819088,0.769563379819088,0.0930695832053026
"AAAS",0.0335042932089184,0.48713361131262,-3.39376391249828e-06,0.30367132356372,3.41169064828057e-06,-0.0359244958615964,0.384797775079365,0.785492964687036,0.131597636496536,0.785492964687036,0.131597636496536,0.785492964687036,0.785492964687036,0.131597636496536
"AACS",-0.0237880842442192,0.303611012012111,1.77295679845781e-06,0.0646009355348709,6.75870056535681e-06,0.0832387118398443,0.419723745357219,0.44128933812235,0.142246300924501,0.44128933812235,0.142246300924501,0.44128933812235,0.44128933812235,0.142246300924501
"AADAC",0.0317181300982945,0.692647710506348,2.26576903337863e-06,0.0489121682404565,-9.16506821101054e-07,-0.237853050589736,0.402025602250689,0.0599186742770358,0.124771284190135,0.0599186742770358,0.124771284190135,0.0599186742770358,0.0599186742770358,0.124771284190135
"AADAT",-0.00296221435973653,0.0615041031885735,-1.34472579748799e-06,0.00617902973080663,-6.84849948272698e-07,-0.00898284138098204,-0.573794350155192,0.986500287915837,0.106534991066924,0.986500287915837,0.106534991066924,0.986500287915837,0.986500287915837,0.106534991066924
"AAGAB",-0.00481850982218361,-0.144981833559398,3.64759827539472e-07,0.00196569268868239,-5.26078386992288e-06,0.0612159540458383,-0.638471990711738,0.891440996149469,0.00181509551288659,0.891440996149469,0.00181509551288659,0.891440996149469,0.891440996149469,0.00181509551288659
"AAK1",-0.0520844851030587,-0.153865226099098,1.23643390614156e-05,-0.332947712919223,1.7228651466773e-05,0.204569824995265,-0.349732394960627,0.0155172924883073,0.177675242343784,0.0155172924883073,0.177675242343784,0.0155172924883073,0.0155172924883073,0.177675242343784
"AAMDC",0.00319448520306803,-0.102545382106155,1.18255107392425e-05,-0.0641477443878517,1.04030285606323e-05,-0.0190112225669776,-0.26613593343891,0.575202183075548,0.4653887496466,0.575202183075548,0.4653887496466,0.575202183075548,0.575202183075548,0.4653887496466
"AAMP",0.0247758479772329,0.787794731548884,-6.91793809448725e-06,0.441736207152584,-2.74554262041796e-06,0.0400274964858461,1.01519293860194,0.456017586438148,0.00379957822622321,0.456017586438148,0.00379957822622321,0.456017586438148,0.456017586438148,0.00379957822622321
