"Gene","AGM.9530537.4.lfc","Cyno.9530537.4.lfc","AGM.Malale.4.lfc","Cyno.Malale.4.lfc","AGM.9530537.7.lfc","Cyno.9530537.7.lfc","AGM.Malale.7.lfc","Cyno.Malale.7.lfc","AGM.9530537.10.lfc","AGM.Malale.10.lfc","Cyno.Malale.10.lfc","AGM.9530537.≥14/Term.lfc","Cyno.9530537.≥14/Term.lfc","AGM.Malale.≥14/Term.lfc","Cyno.Malale.≥14/Term.lfc","AGM.9530537.4.padj","Cyno.9530537.4.padj","AGM.Malale.4.padj","Cyno.Malale.4.padj","AGM.9530537.7.padj","Cyno.9530537.7.padj","AGM.Malale.7.padj","Cyno.Malale.7.padj","AGM.9530537.10.padj","AGM.Malale.10.padj","Cyno.Malale.10.padj","AGM.9530537.≥14/Term.padj","Cyno.9530537.≥14/Term.padj","AGM.Malale.≥14/Term.padj","Cyno.Malale.≥14/Term.padj"
"A1BG",0.00345695746305832,-0.247069270545632,-0.102458977856542,-0.0760620056249764,0.796267704166741,-0.206118820291872,0.191915895485719,0.141654447773326,0.278853385057071,0.38353545610951,0.229328026742976,2.01653382906212,-0.436684461884071,1.115613279788,0.610762583350818,0.993328691408067,0.468445759553086,0.707240464291488,0.807440972022288,0.0290198600732779,0.5525097921762,0.53301929103629,0.69798245723182,0.40116478887608,0.216709864026224,0.484160031079084,5.46518193072488e-09,0.258782367696758,0.00248660914867067,0.0773796866663417
"A2ML1",0.280659239740609,0.049065904735274,-0.0403537276897754,0.0174660112061835,0.188336379830883,0.200217477271085,0.293906151766478,0.18260127469165,0.483542374294826,0.198288783704038,0.116926900420191,0.808611176879053,0.134167250289285,0.683852367531129,0.174371626903802,0.315335496645856,0.91503489349813,0.88407042632752,0.962976287192833,0.467342202410586,0.582912621042406,0.165470217706328,0.601731646923836,0.0590610399808618,0.359645016527868,0.73033306021355,0.000208126019661938,0.730255194780408,0.00167038086701687,0.589864878031727
"A4GALT",0.0896481045832084,-0.134195006481813,0.339434043155287,0.300879580798362,-0.0632234674542042,0.273948192524655,0.0258203674262736,0.789761265040621,-0.137445111913923,-0.701431491159109,1.15722011252293,-0.115087559792437,1.90002581088744,-0.12189475917175,2.38908474178057,0.798194804988461,0.720598301596704,0.203942679802299,0.251268616205407,0.847972624538102,0.332158204874127,0.936280437314057,0.00212694479923565,0.669075337160486,0.0181348956507251,8.02368077801041e-06,0.700456433575204,8.5875109987642e-20,0.697038174710838,1.64285518568011e-32
"AAAS",-0.214573364306251,-0.258834981725467,-0.103076739905847,0.182656458521866,-0.144130863935164,-0.204272465643099,-0.277804818986059,0.117817691634824,-0.163238831098924,-0.138866929121194,0.107088882594383,-0.121654302117459,-0.193125063378456,-0.227054741867175,0.132860134914016,0.133378616542511,0.300075160268779,0.397005115801028,0.260978423082772,0.260804249764907,0.419180799308693,0.00586233667116911,0.477847043312135,0.238581270774594,0.185914942811662,0.511650405997414,0.270728436306418,0.317174770862702,0.0371330385158199,0.262352954220453
"AACS",-0.0901034230057436,-0.25795618803631,-0.28945179271781,0.199295214514397,0.0501543903606369,-0.0299647140922724,0.157624526592252,0.170099468040624,-0.0672219748714274,0.2416146050246,0.301072054915438,0.00161059440969461,-0.367600064711234,0.192466890042172,0.206027973330724,0.733399355443852,0.253316015078837,0.0118620269524672,0.231146363904993,0.786948461588003,0.927681812762127,0.188943284855617,0.287427703190095,0.733120660988497,0.0316844561674107,0.0443820635033159,0.996542045042425,0.0266016505475298,0.0991365831045165,0.0770363751231731
"AADAC",-0.158805627028419,-0.310630135549535,0.149934961166489,-0.744441798238328,-0.0725265802954115,0.175285606645984,-0.0345103258703316,-0.852011858072443,-0.135342180515421,-0.368180087308401,-0.60655560928615,0.764189036190979,0.237029643590956,0.108261038135989,-0.401243099664793,0.591085820349254,0.386218373329619,0.373063516538457,0.019063099495171,0.780377135506952,0.640103468152868,0.844289304527581,0.0067090025059691,0.597966056819247,0.0109821252228181,0.0405178570260826,6.23588441379754e-05,0.465744878064659,0.510820126303519,0.102036687532615
"AADAT",-0.165799800678478,0.0232959796662895,-0.236645411511073,0.186335153804958,-0.382108331412468,-0.0282247716912714,-0.911413687283986,-0.108101033602355,-0.874023195673828,-1.24386089766906,-0.159702656855705,-0.573219338979994,1.42193459278254,-0.502701128513897,-0.0602266191252975,0.605296647806389,0.964334768098248,0.340228862832642,0.535801902501372,0.240324303436864,0.950022845683524,0.0221852564461167,0.768920022184591,0.0382871293666527,0.00407524014512242,0.624505669715583,0.105159347187349,0.00374502786856861,0.179037527268195,0.872624151975092
"AAGAB",0.266035590657798,0.280229083684548,0.355106960740857,0.154023385170384,0.246260131318382,0.152350360159751,0.376501756948592,0.231920948850747,0.287180053534633,0.252483057408049,0.0796736231535875,0.13348663360816,0.843742243715351,0.357496767093751,0.227849897914209,0.0429411029567377,0.121438910897779,0.00311272186986943,0.314276696720223,0.0422974693031871,0.448100656024933,0.00136363833037761,0.0845927206087321,0.0187285415128757,0.0367351505740683,0.607388983310846,0.209344902991444,7.23140012617327e-11,0.00345600756518983,0.0236802071925506
"AAK1",-0.122311783113485,-0.142047984737097,-0.31137877831567,-0.0100197886908348,-0.247553670896017,0.1350796030336,-0.0835127782151885,0.0813309229454693,-0.119838689096138,0.107309904804034,0.277929065522286,-0.0970669663494425,0.0188353775199181,0.142189029691285,-0.00924970549346556,0.305232407293009,0.534954488935931,5.3154172343793e-05,0.966193569712023,0.00537324475374542,0.491735409871796,0.35500699908368,0.65777713236697,0.222289667699516,0.191408717959916,0.0803197989388649,0.192137361184676,0.915357600743887,0.0802499203727574,0.946938546284717
"AAMDC",-0.0243247244226175,-0.127593507145135,-0.0510112559880443,-0.19904414073209,-0.0951115187247119,-0.19711747971298,0.0660124002810472,-0.219424163219045,-0.159592626083932,-0.0214057013236697,-0.163615243903754,-0.0121951504981335,-0.200515756174971,-0.0785060127033103,-0.42472251863145,0.883648577477602,0.55538328306957,0.62569054431792,0.126428692518185,0.415123066961654,0.24556006488363,0.448492689598792,0.0697747163698,0.181707623981798,0.817955429837173,0.191195727052775,0.871202957863527,0.136218413199188,0.355727375363733,8.48226993227727e-07
"AAMP",0.233464564888514,-0.123734042413345,0.182509986750077,0.429634004987785,0.586597124560242,0.0190873715265927,0.0591860024650462,0.359697538769421,0.495633808308321,0.12599314642303,0.285866887058231,0.255095009281755,0.0621125132735397,0.0756817561521925,0.863679075224108,0.233062052158539,0.732026204093121,0.178367680104011,0.0439996866292193,0.000167934946989874,0.970409652283329,0.691011981670407,0.0871945794112358,0.00202029940745461,0.345208799610702,0.175800047547278,0.0652522189795725,0.801589715596169,0.598804834652993,4.52595103597941e-08
"AANAT",1.10396086114905,1.55032641564775,0.332290214070281,3.00193802931599,1.4623104651959,1.35853106847586,1.27490575093844,2.89699482848825,1.25761684867567,1.56574092410907,2.47682787281087,0.0985031083660781,1.3963288878958,1.62274078245983,2.4347720961173,8.13617602313176e-05,0.0238557220368087,0.220186880536557,1.83926064494696e-11,6.60817665511864e-08,0.0348766336046997,0.000156028515795933,8.21345905007713e-11,7.74868011015969e-06,3.44246764052506e-06,5.58503432058851e-08,0.730883880428434,0.0152745871498646,3.70135202548422e-06,5.15566421486033e-10
"AAR2",0.266709520245339,0.107954241189356,0.368255787268741,0.414781885784007,0.404509548888093,0.110776942196735,0.423572581933267,0.404668261980655,0.275504211809726,0.294329688689596,0.442823023409253,0.530939522427188,0.388706068630353,0.224485911628085,0.889656039917673,0.16518355977357,0.699178877148974,5.26758788493522e-05,0.00301170493650129,0.013143844589847,0.633005010599349,1.84070020075732e-06,0.00292553456948841,0.112375339567618,0.0010996344856278,0.00106543821332372,8.419230144398e-05,0.00838504469579515,0.0280575157696819,3.27012405295884e-18
"AARS",0.482118321637695,0.224666096621297,0.417408366422948,0.0174293626199933,0.736050856766839,0.337341547717386,0.490030810621699,0.165256693026628,0.659263684733192,0.451210610860477,0.13077406830466,0.87624148457527,0.107987911468461,0.622232395455565,0.542940792628178,0.000241983607345081,0.447844626341867,5.61838448096238e-05,0.936837485211693,3.3118051484564e-09,0.176144045472029,1.42811434400804e-06,0.391803251460825,1.86858455403629e-07,8.38664084112374e-06,0.505071396018989,6.17844844459943e-17,0.635925544822586,2.0141084515732e-09,5.68738436356464e-05
