"Gene","lfc","padj","Significant","Regulation","Species","Daterange"
"A1BG",0.0588726328249157,0.453425231354568,FALSE,"None","Cyno","4"
"A2ML1",0.144003513696275,0.569593349422948,FALSE,"None","Cyno","4"
"A4GALT",0.603634345896106,0.0930695832053026,FALSE,"None","Cyno","4"
"AAAS",0.48713361131262,0.131597636496536,FALSE,"None","Cyno","4"
"AACS",0.303611012012111,0.142246300924501,FALSE,"None","Cyno","4"
"AADAC",0.692647710506348,0.124771284190135,FALSE,"None","Cyno","4"
"AADAT",0.0615041031885735,0.106534991066924,FALSE,"None","Cyno","4"
"AAGAB",-0.144981833559398,0.00181509551288659,FALSE,"None","Cyno","4"
"AAK1",-0.153865226099098,0.177675242343784,FALSE,"None","Cyno","4"
"AAMDC",-0.102545382106155,0.4653887496466,FALSE,"None","Cyno","4"
"AAMP",0.787794731548884,0.00379957822622321,FALSE,"None","Cyno","4"
"AANAT",0.134633180418975,0.624572250250345,FALSE,"None","Cyno","4"
"AAR2",0.0869381920103072,0.618522021598608,FALSE,"None","Cyno","4"
"AARS",0.41451495577488,7.60458183153742e-07,FALSE,"None","Cyno","4"
"AARS2",0.614406211737864,0.000428848347275923,FALSE,"None","Cyno","4"
"AARSD1",0.219998562912448,0.524067399102323,FALSE,"None","Cyno","4"
"AASDH",-0.420890325454947,0.0888044982606554,FALSE,"None","Cyno","4"
"AASDHPPT",-0.884189036193369,7.82951530155005e-05,FALSE,"None","Cyno","4"
"AASS",-0.0497425652160643,0.844484198034564,FALSE,"None","Cyno","4"
"AATF",-0.211407822099017,0.194711788285595,FALSE,"None","Cyno","4"
"ABAT",0.130999839350556,0.539917161416861,FALSE,"None","Cyno","4"
"ABCA1",0.0170737460929489,0.404051725888068,FALSE,"None","Cyno","4"
"ABCA10",-0.826950802645884,0.107015221518375,FALSE,"None","Cyno","4"
"ABCA12",-0.0179741077077917,0.552287868876062,FALSE,"None","Cyno","4"
"ABCA13",0.0561740877276891,0.739881044002889,FALSE,"None","Cyno","4"
"ABCA3",0.271151536314226,0.248762304004149,FALSE,"None","Cyno","4"
"ABCA4",0.012573493585332,0.691437395161247,FALSE,"None","Cyno","4"
"ABCA5",-0.27108063984354,0.484422270177356,FALSE,"None","Cyno","4"
"ABCA6",-0.0422996752722496,0.508680419450864,FALSE,"None","Cyno","4"
"ABCA7",0.574531288225069,0.0429853932059171,FALSE,"None","Cyno","4"
"ABCA8",-0.0257796995972621,0.76333412675871,FALSE,"None","Cyno","4"
"ABCA9",0.0852321201860128,0.664653233425925,FALSE,"None","Cyno","4"
"ABCB10",0.133378482980413,0.331117994464254,FALSE,"None","Cyno","4"
"ABCB11",-0.381166491055119,0.134306799547695,FALSE,"None","Cyno","4"
"ABCB4",-0.0783392378763881,0.584277030655457,FALSE,"None","Cyno","4"
"ABCB5",0.0229827170363407,0.304006126653326,FALSE,"None","Cyno","4"
"ABCB6",0.339467555563532,0.0999511684936864,FALSE,"None","Cyno","4"
"ABCB7",-0.572658641573158,0.00247030772800686,FALSE,"None","Cyno","4"
"ABCB8",0.351286865542017,0.0500362584075569,FALSE,"None","Cyno","4"
"ABCB9",0.0974386454266578,0.651316153656385,FALSE,"None","Cyno","4"
"ABCC1",0.252302589556536,0.312287639916881,FALSE,"None","Cyno","4"
