"Gene","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"A1BG",-0.247069270545632,0.468445759553086,FALSE,"None","Cyno","9530537","4"
"A2ML1",0.049065904735274,0.91503489349813,FALSE,"None","Cyno","9530537","4"
"A4GALT",-0.134195006481813,0.720598301596704,FALSE,"None","Cyno","9530537","4"
"AAAS",-0.258834981725467,0.300075160268779,FALSE,"None","Cyno","9530537","4"
"AACS",-0.25795618803631,0.253316015078837,FALSE,"None","Cyno","9530537","4"
"AADAC",-0.310630135549535,0.386218373329619,FALSE,"None","Cyno","9530537","4"
"AADAT",0.0232959796662895,0.964334768098248,FALSE,"None","Cyno","9530537","4"
"AAGAB",0.280229083684548,0.121438910897779,FALSE,"None","Cyno","9530537","4"
"AAK1",-0.142047984737097,0.534954488935931,FALSE,"None","Cyno","9530537","4"
"AAMDC",-0.127593507145135,0.55538328306957,FALSE,"None","Cyno","9530537","4"
"AAMP",-0.123734042413345,0.732026204093121,FALSE,"None","Cyno","9530537","4"
"AANAT",1.55032641564775,0.0238557220368087,FALSE,"None","Cyno","9530537","4"
"AAR2",0.107954241189356,0.699178877148974,FALSE,"None","Cyno","9530537","4"
"AARS",0.224666096621297,0.447844626341867,FALSE,"None","Cyno","9530537","4"
"AARS2",-0.0343401636542561,0.919852122738411,FALSE,"None","Cyno","9530537","4"
"AARSD1",-0.000659519977168587,0.997938322192089,FALSE,"None","Cyno","9530537","4"
"AASDH",-0.114759942350783,0.729531114042027,FALSE,"None","Cyno","9530537","4"
"AASDHPPT",0.158473852168479,0.657010701085942,FALSE,"None","Cyno","9530537","4"
"AASS",-0.348241905162472,0.34029762891509,FALSE,"None","Cyno","9530537","4"
"AATF",-0.0546394443908802,0.815716990803953,FALSE,"None","Cyno","9530537","4"
"ABAT",-0.41481460480981,0.0539314444052209,FALSE,"None","Cyno","9530537","4"
"ABCA1",0.0545602630358698,0.918060277020705,FALSE,"None","Cyno","9530537","4"
"ABCA10",0.0820560393336731,0.863418725108471,FALSE,"None","Cyno","9530537","4"
"ABCA12",1.65966169855768,4.42361949275954e-05,FALSE,"None","Cyno","9530537","4"
"ABCA13",-0.238504110588069,0.526794906564533,FALSE,"None","Cyno","9530537","4"
"ABCA3",-0.216896261227292,0.469915989015201,FALSE,"None","Cyno","9530537","4"
"ABCA4",-0.392017097161346,0.270939205700953,FALSE,"None","Cyno","9530537","4"
"ABCA5",-0.216487683516786,0.570835211194353,FALSE,"None","Cyno","9530537","4"
"ABCA6",1.00093832133578,0.0562760208565421,FALSE,"None","Cyno","9530537","4"
"ABCA7",-0.0948073414634764,0.833006249390316,FALSE,"None","Cyno","9530537","4"
"ABCA8",-0.0973150288035965,0.790397649484874,FALSE,"None","Cyno","9530537","4"
"ABCA9",0.0632835258368575,0.871577355932831,FALSE,"None","Cyno","9530537","4"
"ABCB10",-0.0435301665289963,0.914628233164985,FALSE,"None","Cyno","9530537","4"
"ABCB11",0.0657539798260005,0.899660230175433,FALSE,"None","Cyno","9530537","4"
"ABCB4",-0.620011047752445,0.0537066388305212,FALSE,"None","Cyno","9530537","4"
"ABCB5",0.0473957953776866,0.912435808014405,FALSE,"None","Cyno","9530537","4"
"ABCB6",-0.232912220791487,0.397204642365597,FALSE,"None","Cyno","9530537","4"
"ABCB7",0.577331141397569,0.00173126320642666,FALSE,"None","Cyno","9530537","4"
"ABCB8",-0.0219672845872105,0.967263897487325,FALSE,"None","Cyno","9530537","4"
"ABCB9",0.137435523990182,0.73320157913835,FALSE,"None","Cyno","9530537","4"
"ABCC1",0.355188964551064,0.155305117331747,FALSE,"None","Cyno","9530537","4"
